sentence,tip_id,label
Browse for imported manga and anime and top off your visit with some killer sushi,4acdeb8870c603bb0a918eb4,0
the pulled pork sandwich is amaze.,4ad75d4f70c603bb069b8eb4,0
You must have the burnt ends!,4b044c2170c603bb6beb8eb4,0
Try the cherry soda if you like cherrys.,4b0db7d370c603bb45168fb4,0
Each cup of coffee is made with love.,4b17c78c70c603bb4c378fb4,0
"Tastes amazing and only uses the highest quality fairtrade, organic ingredients.",4b17c78c70c603bb4c378fb4,0
Eat in the little cove downstairs,4b27a03470c603bb546b8fb4,0
The jasmine smoothie is great,4b3b4bd770c603bb53aa8fb4,0
The best 'coffice' in London,4b4dbfe370c603bb4d3490b4,0
Very authentic Japanese food,4b5314d970c603bb660490b4,0
just great when you have kids!,4b65d85070c603bbf03991b4,0
Has to be a jumbo Soho Special.,4b676aba70c603bbe74f91b4,0
Pulled pork and beef brisket.,4b676aba70c603bbe74f91b4,0
Devine.,4b676aba70c603bbe74f91b4,0
"When in London, I come here every Sunday for breakfast.",4b6ea07a70c603bbceb691b4,0
"If you come with someone asks for the courbeille de pain, fantastic!",4b6ea07a70c603bbceb691b4,0
Big fan of the chicken wings here.,4b71842270c603bb0edb91b4,0
Pure sleazy goodness,4b71842270c603bb0edb91b4,0
Had burnt ends after these recommendations and can confirm they are amazing,4b72e9e570c603bb0bf091b4,0
The best Japanese fast food joint in London.,4b76ab8770c603bbd42592b4,0
great sushi.,4b76ab8770c603bbd42592b4,0
"Good food, close to Selfridges do you can nip back in to continue shopping!",4b76c4b470c603bb012792b4,0
"Good food, also close to Selfridges so you can nip back to continue shopping!",4b76c4fa70c603bb042792b4,0
Outstanding Dim Sum / Yum Cha,4b80104370c603bb28ab92b4,0
Nice waterside views.,4b80164e70c603bbabab92b4,0
Keep an eye out for their 'seasons' with special menus.,4b893e7770c603bbe32d93b4,0
Wonderful pappardelle con chingale on Thursday night,4b9b472670c603bbdf4794b4,0
Had the 'Pulled Pork Meal' here a fortnight ago.,4b9e7c8b70c603bb9f8394b4,0
Absolutely amazing!,4b9e7c8b70c603bb9f8394b4,0
You get a massive plate full for Â£7!,4b9e7c8b70c603bb9f8394b4,0
Bargain!,4b9e7c8b70c603bb9f8394b4,0
"Very popular with young families at weekends and during weekdays, they do delicious puddings and breakfasts but staff can sometimes look overwhelmed by the numbers of people they have to serve.",4ba54cd070c603bb141595b4,1
Outstanding indian cuisine.,4ba68e1870c603bb953c95b4,0
"Huge range, plenty of special menu nights.",4ba68e1870c603bb953c95b4,0
"Modern, minimalist setting.",4ba68e1870c603bb953c95b4,0
"Small cafe, but with a back room and kids room, great for meetings.",4ba68f1070c603bb223695b4,0
"have the pig out for Â£10 includes a rack of ribs coleslaw fries and a beer, AWESOME !!",4bafd6c170c603bb8f0496b4,0
!,4bafd6c170c603bb8f0496b4,0
"Never eat a 16 oz beef hamburger by yourself , if you do not want to have a problem with your stomach.",4bb4a4e070c603bb2e6596b4,0
Ahhhhhhh........,4bb4a4e070c603bb2e6596b4,0
Staff behind the counter are a shambles.,4bb5e74b70c603bb717f96b4,1
ordered my coffee 3 times and nobody charged me.,4bb5e74b70c603bb717f96b4,0
I was the only customer at the counter.,4bb5e74b70c603bb717f96b4,0
Amazing salads and bread here... Secret gem.,4bb88fcd70c603bb36b796b4,0
Great buffalo-style grilled chicken burger.,4bbf15d270c603bb5f3d97b4,0
Too much salt on the fries tho!,4bbf15d270c603bb5f3d97b4,0
Won't show the golf because it is on BBC and they can't replace the add breaks with their own adds.,4bc0cd7b70c603bb336697b4,0
Discusting.,4bc0cd7b70c603bb336697b4,0
2 words: Pulled pork!,4bc1cfc070c603bb347c97b4,0
Eat three days worth of your daily allowance of meat in one sitting.,4bc844e270c603bbef0598b4,0
Kansas style BBQ to gnaw on.,4bc844e270c603bbef0598b4,0
Great value canteen style thai dining.,4bca53ea70c603bbcd3e98b4,0
Make sure you go for the squid/green peppercorn starter - its sublime :-P,4bca53ea70c603bbcd3e98b4,0
"The best and cleanest toilets in London, a sanctuary of peace.",4bcee8d570c603bbeea498b4,1
Food's great too!,4bcee8d570c603bbeea498b4,0
The squid is an absolute must have dish,4bcee8f670c603bbf2a498b4,0
A large portion of chips easily feeds two!,4bcf47d070c603bb13af98b4,0
Asparagus with poached egg,4bd3250170c603bb410d99b4,0
Split a combo plate with the one you love.,4bd4ae7b70c603bb733599b4,0
American sports on the telly.,4bd4ae7b70c603bb733599b4,0
"A great place for breakfast, lunch, dinner, or just drinks.",4bd873b370c603bb9d8c99b4,0
One of my fave London restaurants.,4bd873b370c603bb9d8c99b4,0
Always buzzing.,4bd873b370c603bb9d8c99b4,0
"Good food, good people watching.",4bd873b370c603bb9d8c99b4,0
The burnt ends and pulled pork platter is truly amazing.,4bdc6c0c70c603bb76eb99b4,0
"Start off with the fiery Gamma shrimp, truly delectable.",4bdc6c0c70c603bb76eb99b4,0
"Try the Jack Daniels Sesame Chicken Strippers as a starter, not too hot or spicy with a sweet vinegar dipping sauce, very tasty!",4bdec1f570c603bbed1d9ab4,0
"Didn't think much of the chicken fajita, nice chicken but lots and lots of onion!",4bdeca7470c603bb9b1e9ab4,0
"Glad I had the sesame chicken for starters, that was lovely!",4bdeca7470c603bb9b1e9ab4,0
The calamari is fantastic,4be06a4d70c603bbda3e9ab4,0
"Eat in the cafe, not the resto.",4be1e11a70c603bbb85d9ab4,0
Pulled Pork Special!,4bec150470c603bbf3549bb4,0
"Great sushi, and well priced.",4bf687aa70c603bb64619cb4,0
I'm suprised the Itsu next door gets any customers!,4bf687aa70c603bb64619cb4,0
Ribs Ribs Ribs.,4bfe2b0270c603bb4a299db4,0
That's all i have to say.,4bfe2b0270c603bb4a299db4,0
I do love a Oreo Milkshake,4c02ad4970c603bbd5a69db4,0
Staffed by people who literally cannot understand English unfortunately.,4c03960670c603bb6ac09db4,1
"Meal was satisfactory, though for the same price you could have a much better meal at The Botanist down the road, or Cecconi's",4c03960670c603bb6ac09db4,0
Half price sushi every evening.,4c0e956f336220a1fb73cc77,0
"Never tell them that your friends aren't here, it's first come first served.",4c111a0e3ce120a1c522091c,0
Even our group of 15 was kept waiting at the bar while others were being seated.,4c111a0e3ce120a1c522091c,1
Very inflexible staff and poor service.,4c111a0e3ce120a1c522091c,1
"Incredible food...sushi, hot noodles and more.",4c19ff6efe5a76b0765d0415,0
Go there.,4c19ff6efe5a76b0765d0415,0
Overpriced prices and poor food,4c1a4702b9f876b0df5c7846,0
Calling all meat lovers!!,4c1f32fc5668b713099cf569,0
"Fab smoked rib shack, loads of meat options & more!",4c1f32fc5668b713099cf569,0
+ chilli cheese chips hmm!,4c1f32fc5668b713099cf569,0
"Can only book a table for 8 or more, always v busy but the turn around is quite quick!",4c1f32fc5668b713099cf569,1
Amazing food.,4c2f3752ed37a59355d26603,0
Try the Beef Sukiyakidon.,4c2f3752ed37a59355d26603,0
